Coffee/WaterRatio,Temperature,L-Malic acid,Trigonelline,Pyrogallol,Cinnamic acid,Citric acid,Quinic acid,Fructose,Glucose,Ferulic acid,Caffeic acid,Sucrose,Lactose,Maltose,CGA(Bitterness),Caffeine,CGA(Acidity)
10,84,1.218062436,0.117498279,0.026909677,0.021224563,5.505313252,2.13442799,0.002531797,0.000411576,0.0302074,48.95761632,0.096210327,0.318847793,0.000105933,22.0899952,663.0181471,61.02208618
10,84,1.354976309,0.118726221,0.024128018,0.022169063,7.048477126,1.934269402,0.002220507,0.000376513,0.03270235,49.46925868,0.092228416,0.291682414,0.000108126,21.00384659,663.4104632,58.02167566
10,84,1.360655945,0.115358517,0.022947776,0.022581125,7.630087724,1.985798688,0.001942736,0.000336294,0.03270855,48.06604861,0.088261322,0.301233552,0.000110036,20.12899896,1066.721663,55.6049695
10,85,1.266154891,0.103339575,0.021212736,0.019879438,6.049465504,2.078251048,0.001768052,0.000326204,0.0294958,43.05815625,0.087916708,0.289151828,9.30E-05,19.93976539,1004.36054,55.08222484
10,85,1.401263382,0.094928213,0.019310326,0.020043563,6.169485772,1.889557851,0.001460982,0.000270343,0.0306527,39.55342188,0.08170969,0.261880828,9.53E-05,17.99707298,1089.215498,49.71567122
10,85,0.061427473,0.091491758,0.022775983,0.014021125,0.007096071,1.859713498,0.000428147,0.000340786,0.0163757,38.12156597,0.07919939,0.332621724,5.48E-05,2.593084941,765.1169644,7.16321807
10,86,1.319496273,0.086056,0.016583854,0.0155525,5.441257496,1.901653371,0.001075813,0.000220827,0.0242207,35.85666667,0.076422847,0.263370966,6.90E-05,19.88868875,789.907623,54.94112913
10,86,1.221027236,0.11533945,0.021242214,0.016485375,8.074110732,2.289183788,0.00089695,0.000305511,0.02955885,48.05810417,0.084213957,0.322060897,6.94E-05,27.06951241,53.70903011,74.7776586
10,86,1.265553836,0.134965258,0.020519247,0.016580063,3.95363574,2.316816258,0.001165762,0.000302109,0.03642425,56.23552431,0.082191596,0.305433138,9.68E-05,22.39805653,868.4581891,61.87308434
10,87,1.184308855,0.077670413,0.016446047,0.013975063,3.15973637,2.159361507,0.000861117,0.000240514,0.0208812,32.36267188,0.082082602,0.305761276,6.45E-05,21.51440857,832.7092197,59.43206787
